_application fan
_version 2.2
_type SymmetricFan

AMBIENT_DIM
35

DIM
13

LINEALITY_DIM
7

RAYS
-8 1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 -1 1 1 1 0 0 0 0 0 0 -1 0 0 0 -1 -1	# 0
-1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 -8	# 1
-1 0 0 0 -1 -1 -1 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 1 1 1 0 0 0 1 1 1 1 -8 1	# 2
-1 0 0 0 0 0 0 1 1 1 -1 -1 -1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 -8 0 0 0 1 1	# 3
-1 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 -8 -1 -1 -1 0 0 0 0 0 0 1 0 0 0 1 1	# 4
0 -1 0 0 -1 0 0 -1 -1 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 1 0 1 1 -8 1 1	# 5
0 -1 0 0 0 1 1 0 0 1 -1 0 0 -1 -1 0 0 0 1 0 0 1 1 0 0 1 1 1 -8 1 0 0 1 0 1	# 6
0 -1 0 0 0 1 1 0 0 1 0 1 1 0 0 1 1 1 -8 1 -1 0 0 -1 -1 0 0 0 1 0 0 0 1 0 1	# 7
0 0 -1 0 0 -1 0 -1 0 -1 1 0 1 0 1 0 0 1 0 0 1 0 1 0 1 0 0 1 0 0 1 -8 1 1 1	# 8
0 0 -1 0 1 0 1 0 1 0 0 -1 0 -1 0 -1 0 1 0 0 1 0 1 0 1 0 1 -8 1 1 0 1 0 0 1	# 9
0 0 -1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 -8 1 1 0 -1 0 -1 0 -1 0 1 0 0 0 1 0 0 1	# 10
0 0 0 -1 0 0 -1 0 -1 -1 1 1 0 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 0 -8 1 1 1 1	# 11
0 0 0 -1 1 1 0 1 0 0 0 0 -1 0 -1 -1 1 0 0 0 1 1 0 1 0 0 -8 1 1 1 1 0 0 0 1	# 12
0 0 0 -1 1 1 0 1 0 0 1 1 0 1 0 0 -8 1 1 1 0 0 -1 0 -1 -1 1 0 0 0 1 0 0 0 1	# 13
0 0 1 1 -1 0 0 0 0 1 -1 0 0 0 0 1 -1 -1 0 0 0 1 1 1 1 -8 0 0 1 1 0 0 1 1 0	# 14
0 0 1 1 -1 0 0 0 0 1 0 1 1 1 1 -8 0 0 1 1 -1 0 0 0 0 1 -1 -1 0 0 0 0 1 1 0	# 15
0 0 1 1 0 1 1 1 1 -8 -1 0 0 0 0 1 0 0 1 1 -1 0 0 0 0 1 0 0 1 1 -1 -1 0 0 0	# 16
0 1 0 1 0 -1 0 0 1 0 0 -1 0 0 1 0 -1 0 -1 0 1 0 1 1 -8 1 0 1 0 1 0 1 0 1 0	# 17
0 1 0 1 0 -1 0 0 1 0 1 0 1 1 -8 1 0 1 0 1 0 -1 0 0 1 0 -1 0 -1 0 0 1 0 1 0	# 18
0 1 0 1 1 0 1 1 -8 1 0 -1 0 0 1 0 0 1 0 1 0 -1 0 0 1 0 0 1 0 1 -1 0 -1 0 0	# 19
0 1 1 0 0 0 -1 1 0 0 0 0 -1 1 0 0 0 -1 -1 0 1 1 0 -8 1 1 1 0 0 1 1 0 0 1 0	# 20
0 1 1 0 0 0 -1 1 0 0 1 1 0 -8 1 1 1 0 0 1 0 0 -1 1 0 0 0 -1 -1 0 1 0 0 1 0	# 21
0 1 1 0 1 1 0 -8 1 1 0 0 -1 1 0 0 1 0 0 1 0 0 -1 1 0 0 1 0 0 1 0 -1 -1 0 0	# 22
1 -8 1 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0 -1 0 1 0 0 1 1 0 0 0 -1 0 0 0 -1 0 -1	# 23
1 0 0 1 0 0 1 -1 0 0 0 0 1 -1 0 0 -1 0 0 -1 1 1 -8 0 1 1 0 1 1 0 0 1 1 0 0	# 24
1 0 0 1 0 0 1 -1 0 0 1 1 -8 0 1 1 0 1 1 0 0 0 1 -1 0 0 -1 0 0 -1 0 1 1 0 0	# 25
1 0 0 1 1 1 -8 0 1 1 0 0 1 -1 0 0 0 1 1 0 0 0 1 -1 0 0 0 1 1 0 -1 0 0 -1 0	# 26
1 0 1 0 0 1 0 0 -1 0 0 1 0 0 -1 0 0 -1 0 -1 1 -8 1 1 0 1 1 0 1 0 1 0 1 0 0	# 27
